id,end_date,instrument,outside_time,outside_plan,heard_of_SLE,heard_of_SLE_SM,heard_of_SLE_museum_ad,heard_of_SLE_website,heard_of_SLE_story,heard_of_SLE_tv,heard_of_SLE_BB,heard_of_SLE_online_ad,heard_of_SLE_other,weather_factor,aware_of_evening,attend_evening,SLE_primary_reason,group_interest,museum_app,museum_app_download_app,museum_app_not_download_app,museum_app_other,current_member,ticket_purchase_time,two_day_ticket,member_for_SLE,recommend,return,age_group1,age_group2,age_group3,age_group4,adults_age,adults_num,children_num,children_age_group1,children_age_group2,children_age_group3,children_age_group4,children_age_group5,no_children,0,preschool,live_IN_county,live_outside_IN
1,2018-05-06 14:15:07,May,N/A,N/A,Family/Friends,No,No,No,No,No,No,No,No,Yes,Yes,,No,Just hang out,N/A,N/A,N/A,N/A,No,,N/A,I am not sure if I will become a museum member.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,2,,,,9-12 years old,,,2,0,Another state or country (please specify),Ky
2,2018-05-06 14:13:19,May,N/A,N/A,No,No,Advertising at the museum,No,No,No,No,No,No,No,No,"No, I do not intend to visit during the evening hours",No,Basketball,N/A,N/A,N/A,N/A,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,,3-5 years old,,,,,1,1,0,0
3,2018-05-06 14:12:19,May,N/A,N/A,No,No,Advertising at the museum,No,No,No,No,No,No,Partially,Not sure,I am not sure if I will come back for the evening hours,Yes,Ball sports,N/A,N/A,N/A,N/A,No,,N/A,I am not sure if I will become a museum member.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,0-2 years old,,,,,,1,1,"Marion County, Indiana",0
4,2018-05-06 14:05:40,May,N/A,N/A,No,No,Advertising at the museum,No,No,No,No,No,No,Yes,No,"Yes, I intend to come back for the evening hours",Yes,All,N/A,N/A,N/A,N/A,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,2,,3-5 years old,6-8 years old,,,,3,1,"Marion County, Indiana",0
5,2018-05-06 14:00:41,May,N/A,N/A,No,No,Advertising at the museum,No,No,No,No,No,No,No,No,"No, I do not intend to visit during the evening hours",No,,N/A,N/A,N/A,N/A,No,,N/A,I will/have become a museum member based on the new activities provided through SLE.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,3,,,6-8 years old,9-12 years old,,,2,0,Another state or country (please specify),SD
6,2018-05-06 13:57:36,May,N/A,N/A,Family/Friends,"Social media (Twitter, Facebook, Instagram)",Advertising at the museum,Our website,No,No,No,No,No,Yes,No,"Yes, I intend to come back for the evening hours",Yes,"Tree house, drag strip, basketball, hockey",N/A,N/A,N/A,N/A,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,5,,3-5 years old,6-8 years old,9-12 years old,,,3,1,"Indiana, but not in the Indy metro area",0
7,2018-05-06 13:56:48,May,N/A,N/A,No,"Social media (Twitter, Facebook, Instagram)",No,No,No,No,No,No,No,No,No,"Yes, I intend to come back for the evening hours",No,Have fun,N/A,N/A,N/A,N/A,No,,N/A,I will/have become a museum member based on the new activities provided through SLE.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,2,,,,9-12 years old,,,2,0,Another state or country (please specify),Kentucky
8,2018-05-06 13:53:56,May,N/A,N/A,No,"Social media (Twitter, Facebook, Instagram)",No,No,No,No,No,No,No,Partially,No,"Yes, I intend to come back for the evening hours",No,,N/A,N/A,N/A,N/A,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,4,0-2 years old,,6-8 years old,9-12 years old,,,3,1,"Indiana, but not in the Indy metro area",0
9,2018-05-06 13:53:55,May,N/A,N/A,No,No,Advertising at the museum,No,No,No,No,No,No,Yes,No,"Yes, I intend to come back for the evening hours",Yes,The tree slide,N/A,N/A,N/A,N/A,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,0-2 years old,,,,,,1,1,"Marion County, Indiana",0
10,2018-05-06 13:49:07,May,N/A,N/A,No,No,Advertising at the museum,Our website,No,No,Billboards around town,No,No,Yes,Yes,,Yes,The kids were excited to see the tree,N/A,N/A,N/A,N/A,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,3,0-2 years old,,6-8 years old,,,,3,1,"Marion County, Indiana",0
11,2018-05-06 13:47:07,May,N/A,N/A,No,No,Advertising at the museum,No,No,No,No,No,No,No,No,"Yes, I intend to come back for the evening hours",No,All of it,N/A,N/A,N/A,N/A,No,,N/A,"No, I am still not interested in becoming a member.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,3,,,6-8 years old,9-12 years old,,,2,0,"Indiana, but not in the Indy metro area",0
12,2018-05-06 13:42:10,May,N/A,N/A,No,No,Advertising at the museum,No,No,TV commertical,Billboards around town,No,No,No,No,I am not sure if I will come back for the evening hours,Yes,Everything,N/A,N/A,N/A,N/A,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,2,0-2 years old,3-5 years old,,,,,1,1,A county adjacent to Marion County,0
13,2018-05-06 13:38:43,May,N/A,N/A,No,No,Advertising at the museum,No,No,No,No,No,No,Yes,No,"Yes, I intend to come back for the evening hours",Yes,Walk an d golf,N/A,N/A,N/A,N/A,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,3,0-2 years old,,6-8 years old,9-12 years old,,,3,1,"Marion County, Indiana",0
14,2018-05-06 13:32:31,May,N/A,N/A,No,No,No,Our website,No,No,No,No,No,No,Yes,,Yes,Football,N/A,N/A,N/A,N/A,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,,,,9-12 years old,,,2,0,A county adjacent to Marion County,0
15,2018-05-06 13:29:10,May,N/A,N/A,No,No,No,No,No,No,Billboards around town,No,No,Yes,Yes,,No,Play basketball,N/A,N/A,N/A,N/A,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,,3-5 years old,,,,,1,1,"Indiana, but not in the Indy metro area",0
16,2018-05-06 13:22:37,May,N/A,N/A,No,No,Advertising at the museum,No,No,No,No,No,No,Yes,No,"Yes, I intend to come back for the evening hours",Yes,Tennis,N/A,N/A,N/A,N/A,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,3,,,6-8 years old,9-12 years old,,,2,0,"Marion County, Indiana",0
17,2018-05-06 13:20:28,May,N/A,N/A,No,No,Advertising at the museum,No,No,No,No,No,No,No,No,"Yes, I intend to come back for the evening hours",Yes,The racing,N/A,N/A,N/A,N/A,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,2,,3-5 years old,,,,,1,1,"Marion County, Indiana",0
18,2018-05-06 13:18:56,May,N/A,N/A,No,No,Advertising at the museum,No,No,No,No,No,No,Yes,No,"Yes, I intend to come back for the evening hours",No,Race cars,N/A,N/A,N/A,N/A,Yes,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,3,,,6-8 years old,9-12 years old,,,2,0,"Marion County, Indiana",0
19,2018-05-06 13:17:33,May,N/A,N/A,Family/Friends,No,No,No,No,No,No,No,No,Yes,No,"Yes, I intend to come back for the evening hours",Yes,Everything,N/A,N/A,N/A,N/A,I am a former member,,N/A,"No, I am still not interested in renewing my museum membership.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,,,6-8 years old,,,,2,0,"Marion County, Indiana",0
20,2018-05-06 13:17:01,May,N/A,N/A,No,No,No,No,No,No,No,No,My husband worked for Sheil Sexton,No,No,I am not sure if I will come back for the evening hours,Yes,We were soaking in all of the exhibits Best outdoor experience ever,N/A,N/A,N/A,N/A,I am a former member,,N/A,I am not sure if I will renew my museum membership.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,3,,3-5 years old,6-8 years old,,13-18 years old,,3,1,"Marion County, Indiana",0
