TimelineDate,Day,HighTemp,LowTemp,AvgTemp,AvgDewPoint,PrecipInches,Condition10amTo8pm
2018-05-03,Thu,76,65,71,62,0.61,Mostly Cloudy
2018-05-06,Sun,82,51,67,51,0.31,Fair
2018-05-26,Sat,88,70,79,66,0,Mostly Cloudy
2018-05-31,Thu,89,71,80,68,0.02,Fair
2018-06-01,Fri,88,70,79,68,0.01,Partly Cloudy
2018-06-02,Sat,88,62,75,63,0,Fair
2018-06-08,Fri,92,71,82,65,0.07,Stormy
2018-06-09,Sat,90,68,79,65,0.02,Fair
2018-06-13,Wed,87,66,77,68,0.07,Mostly Cloudy
2018-06-14,Thu,85,55,70,53,0,Fair
2018-06-15,Fri,90,66,78,62,0,Fair
2018-06-16,Sat,93,70,82,70,0,Fair
2018-06-22,Fri,79,66,73,65,0.03,Mostly Cloudy
2018-06-23,Sat,75,66,71,63,0,Cloudy
2018-06-27,Wed,83,69,76,67,0,Mostly Cloudy
2018-07-08,Sun,88,59,74,60,0,Fair
2018-07-11,Wed,87,69,78,61,0,Fair
2018-07-12,Thu,87,64,76,57,0,Fair
2018-07-13,Fri,90,64,77,61,0,Fair
2018-07-14,Sat,91,69,80,66,0,Fair
2018-07-19,Thu,87,64,76,58,0,Fair
2018-07-20,Fri,90,71,81,66,0.13,Mostly Cloudy
2018-07-24,Tue,85,66,76,65,0,Partly Cloudy
2018-07-25,Wed,86,68,77,64,0,Fair
2018-07-26,Thu,86,65,76,63,0.02,Mostly Cloudy
2018-07-28,Sat,81,61,71,57,0,Fair
